LotArea,TotalBsmtSF,GarageArea,AboveMedianPrice
8450,856,548,1
9600,1262,460,1
11250,920,608,1
9550,756,642,0
14260,1145,836,1
14115,796,480,0
10084,1686,636,1
10382,1107,484,1
6120,952,468,0
7420,991,205,0
11200,1040,384,0
11924,1175,736,1
12968,912,352,0
10652,1494,840,1
10920,1253,352,0
6120,832,576,0
11241,1004,480,0
10791,0,516,0
13695,1114,576,0
7560,1029,294,0
14215,1158,853,1
7449,637,280,0
9742,1777,534,1
4224,1040,572,0
8246,1060,270,0
14230,1566,890,1
7200,900,576,0
11478,1704,772,1
16321,1484,319,1
6324,520,240,0
8500,649,250,0
8544,1228,271,0
11049,1234,484,1
10552,1398,447,1
7313,1561,556,1
13418,1117,691,1
10859,1097,672,0
8532,1297,498,0
7922,1057,246,0
6040,0,0,0
8658,1088,440,0
16905,1350,308,1
9180,840,504,0
9200,938,308,0
7945,1150,300,0
7658,1752,576,1
12822,1434,670,1
11096,1656,826,1
4456,736,0,0
7742,955,386,0
13869,794,388,1
6240,816,528,0
8472,816,516,0
50271,1842,894,1
7134,384,572,0
10175,1425,576,1
2645,970,480,1
11645,860,565,1
13682,1410,641,1
7200,780,352,0
13072,1158,576,0
7200,530,288,0
6442,1370,484,1
10300,576,480,0
9375,1057,645,1
9591,1143,852,1
19900,1947,576,1
10665,1453,558,1
4608,747,220,0
15593,1304,667,1
13651,2223,516,1
7599,845,360,0
10141,832,427,1
10200,1086,490,0
5790,840,379,0
1596,462,297,0
8475,952,283,0
8635,672,240,0
10778,1768,0,0
10440,440,440,0
13000,896,509,1
4500,1237,405,0
10206,1563,758,1
8892,1065,461,0
8530,384,400,1
16059,1288,462,1
11911,684,400,1
3951,612,528,1
8470,1013,0,0
8070,990,0,0
7200,0,420,0
8500,1235,480,0
13360,876,432,1
7200,1214,506,0
9337,824,684,1
9765,680,420,1
10264,1588,472,1
10921,960,432,0
10625,458,366,0
9320,950,0,0
10603,1610,480,1
9206,741,476,1
7018,0,410,0
10402,1226,740,1
7758,1040,240,1
9375,1053,648,1
10800,641,273,0
6000,789,250,0
8500,793,0,0
11751,1844,546,1
9525,994,325,0
7750,384,400,1
9965,1264,792,1
21000,1809,450,1
7259,1028,180,1
3230,729,440,1
11616,1092,288,0
8536,1125,430,0
12376,1673,594,1
8461,728,390,1
21453,938,540,1
6060,732,264,0
9464,1080,288,0
7892,1199,530,0
17043,1362,435,1
6780,520,0,0
4928,1078,440,0
4388,672,0,0
7590,660,453,0
8973,1008,750,0
14200,924,487,1
12224,992,390,1
7388,1063,624,0
6853,1267,471,1
10335,1461,440,1
10400,1304,530,1
10355,1214,318,0
11070,1907,766,1
9066,1004,660,1
15426,928,470,1
10500,864,0,0
11645,1734,660,1
8520,910,720,1
10335,1490,577,1
9100,1728,504,0
2522,970,380,0
6120,715,180,0
9505,884,434,1
7500,1080,0,0
6240,896,240,0
10356,969,440,0
13891,1710,866,1
14803,825,495,1
13500,1602,564,1
11340,1200,312,0
9600,572,0,0
7200,0,625,0
12003,774,680,1
12552,991,678,1
19378,1392,576,1
11120,1232,516,0
13688,1572,726,1
12182,1541,532,1
5500,882,0,0
5400,1149,216,0
10106,644,0,0
10708,1617,303,1
10562,1582,789,1
8244,840,440,1
16669,1686,511,1
12358,720,660,0
31770,1080,528,1
5306,1064,504,1
10197,1362,504,0
12416,1606,616,1
12615,1202,576,1
10029,1151,521,1
13650,1052,451,1
17423,2216,1166,1
8520,968,480,0
2117,756,440,1
7588,793,216,1
9060,0,252,0
11426,1362,484,1
7438,504,576,0
22950,1107,840,1
9947,1188,497,1
10410,660,180,0
7018,1086,528,0
4923,1593,682,1
10570,853,440,1
7472,725,484,1
9017,1431,666,1
2522,970,380,0
7180,864,352,0
2280,855,440,0
9416,1726,786,1
25419,1360,795,1
5520,755,0,0
9591,1713,856,1
8546,1121,440,0
10125,1196,473,1
7000,617,398,0
4438,848,420,0
3500,720,240,0
11851,1424,500,1
13673,1140,349,0
12493,1100,312,0
14364,1157,454,1
8250,1092,504,0
5604,864,0,0
10420,1212,460,1
8640,900,644,1
13568,990,576,0
10900,689,299,0
10011,1070,447,0
8450,1436,484,1
9906,686,210,0
15660,798,431,1
3010,1248,438,1
8990,1498,675,1
8068,1010,390,1
11475,713,434,1
10500,864,576,0
13472,2392,968,1
1680,630,280,0
9950,1203,721,1
1869,483,280,0
8521,912,336,0
3182,1373,430,1
8760,1194,312,0
15138,1462,810,1
1680,483,288,0
10650,894,308,0
7851,860,440,1
1680,483,264,0
8773,1414,494,1
9453,996,457,1
12030,1694,818,1
8741,735,220,0
9000,1566,750,1
3880,686,0,0
5000,540,352,0
10762,626,288,0
8880,948,463,1
10400,1845,604,1
9142,1020,440,0
11310,1367,451,0
11317,840,500,1
159000,1444,389,1
5350,728,0,0
4750,1573,538,1
8366,798,520,1
9350,1302,309,0
8400,1314,294,0
8738,975,429,1
8791,864,673,1
8814,1604,660,1
12435,963,564,1
12702,0,308,0
19296,1362,884,1
9588,1482,868,1
8471,506,492,0
5500,926,484,0
5232,680,504,0
12090,1422,576,1
11207,802,413,1
8400,720,240,1
6900,740,924,0
7917,1143,504,0
10728,1095,1053,1
39104,1385,439,1
11764,1152,671,1
9600,1240,338,0
8314,816,264,0
7264,952,672,1
9196,1560,573,1
19138,864,400,0
14450,2121,732,1
10005,1160,505,1
11287,807,575,1
7200,1262,572,1
5063,1314,626,1
9612,1468,898,1
8012,1575,529,1
4251,625,528,1
9786,912,440,0
8125,858,0,0
9819,882,280,0
8730,698,384,0
15611,1079,685,1
5687,780,0,0
11409,768,281,0
16659,795,539,1
9600,1416,418,1
7937,1003,588,0
13710,910,282,0
7399,975,576,1
11700,702,539,1
14000,1092,300,0
15750,1165,375,0
16226,1028,683,1
13704,1541,843,1
9800,894,552,0
18386,1470,870,1
10386,2000,888,1
13474,700,746,1
7920,319,0,0
12342,861,539,0
12378,1896,708,1
7685,697,420,1
8000,972,240,0
7800,793,410,0
215245,2136,513,1
9600,728,546,1
7795,716,432,1
13005,845,484,1
9000,1088,1025,1
9900,1347,656,1
14115,1372,588,1
16259,1249,840,1
12099,1136,872,1
10380,1502,576,1
5820,1162,220,0
11275,710,564,1
5000,720,360,0
10846,1719,473,1
11600,1383,292,0
11888,844,441,1
6402,596,189,0
10624,1728,352,0
8176,1056,308,0
10655,3206,880,1
8198,1358,484,1
9042,943,472,1
164660,1499,529,1
14157,1922,676,1
9135,1536,532,1
14145,1208,440,1
12400,1215,297,0
14191,967,431,1
8400,721,294,0
8544,0,400,0
8849,1684,564,1
2592,536,336,0
6435,972,312,0
12772,958,301,0
17600,1478,498,0
2448,764,474,0
20431,1848,706,1
7820,1869,617,1
5271,1453,445,1
9084,616,200,0
8520,624,484,0
8400,940,240,0
11249,1200,521,1
9248,1158,400,1
4224,1142,528,0
6930,1062,288,0
12011,1086,592,1
7540,888,470,0
9144,883,240,0
7301,0,672,1
1680,483,264,0
18800,796,566,1
10690,672,468,0
9500,1394,514,0
9150,1099,296,1
7800,1268,244,0
9830,1063,576,0
8121,953,460,1
17120,0,680,0
7175,744,264,0
10634,608,270,0
8200,847,434,1
10020,683,0,0
8846,870,576,0
11143,1580,610,1
11394,1856,834,1
8123,982,463,1
5000,1026,308,0
7200,1293,572,1
9245,939,639,1
9000,784,360,0
53107,1580,501,1
3182,1256,430,1
8410,658,0,0
7200,1041,352,0
9382,1468,577,1
12474,1682,846,1
8405,861,384,0
12209,804,560,1
8339,0,294,0
7446,788,0,0
10134,735,240,0
9571,1144,596,0
7200,894,600,0
7590,864,264,1
8967,961,338,0
8125,1092,438,1
14963,1260,500,1
8767,1310,400,1
10200,672,240,0
12090,1141,420,1
10364,806,373,1
9991,1281,490,0
10480,1064,240,0
15576,840,308,1
14154,1063,947,1
10800,1034,836,1
9571,1276,350,0
34650,1056,572,0
4403,1470,484,1
8960,1008,360,0
11228,1080,678,1
8899,1340,396,1
7844,672,440,0
22420,1370,864,1
8160,756,240,0
8450,1056,304,0
7060,1344,784,1
16635,1602,529,1
21750,988,520,0
9200,1470,696,1
9000,1196,297,0
3378,651,240,0
12800,1518,569,1
8593,907,352,0
6762,1208,628,1
11457,1392,576,1
1680,483,264,0
5586,901,0,0
1920,765,440,0
10839,926,470,1
1890,630,0,0
10667,799,550,1
4400,648,440,0
6000,884,180,0
4280,440,352,0
12354,684,528,0
15431,3094,672,1
12108,1440,0,0
6240,1078,360,0
3922,1258,648,1
8750,915,493,1
9855,1436,480,0
16492,1517,578,1
11214,930,431,1
8600,780,198,0
6000,649,308,0
5684,813,270,0
70761,1533,576,1
9303,872,422,1
9000,768,676,1
9297,1728,560,1
